movieid,Gross,USD,Title,Year,Genre,Budget,Gross Revenue,Additional Data,Copyright,Currency,Unnamed: 6,Profit / Loss,% Profit / Loss 
1783282,"GR: USD 26,384,919 (USA) (12 April 1998)",26384919,Boogie Nights (1997),1997,Drama,15000000,26384919,"46,696 (Netherlands) (31 December 1999) | 46,458 (Netherlands) (31 December 1998)","1997 New Line Productions, Inc. (on print)",USD,,11384919,75.89946
1783500,"GR: USD 70,100,000 (USA)",70100000,Boomerang (1992),1992,Comedy,40000000,70100000,,,USD,,30100000,75.25
1785170,"GR: USD 3,798,532 (USA) (22 December 1996)",3798532,Bound (1996),1996,Crime,4500000,3798532,"158,197 (Germany) (28 February 1997) | 47,697 (Germany) (3 November 1996) | 21,607 (Netherlands) (31 December 1998) | 21,426 (Netherlands) (1 January 1998) | 5,310 (Portugal) (10 April 1997)",,USD,,-701468,-15.58817778
1785529,"GR: USD 66,365,290 (USA) (28 November 1999)",66365290,Bowfinger (1999),1999,Comedy,55000000,66365290,"479,047 (Germany) (7 November 1999) | 164,307 (Netherlands) (31 December 2000) | 65,392 (Netherlands) (31 December 1999)","Universal Studios, 1999 (on print)",USD,,11365290,20.66416364
1786183,"GR: USD 20,627,372 (USA) (30 July 2000)",20627372,Boys and Girls (2000),2000,Comedy,16000000,20627372,"343,224 (Spain) (31 August 2002)",,USD,,4627372,28.921075
1786124,"GR: USD 11,533,945 (USA) (21 May 2000)",11533945,Boys Don't Cry (1999),1999,Biography,2000000,11533945,"17,257 (Netherlands) (31 December 2001) | 16,811 (Netherlands) (31 December 2000)",©1999 Copyright Twentieth Century Fox Film Corporation. All Rights Reserved. (on print),USD,,9533945,476.69725
1787090,"GR: USD 75,609,945 (USA) (13 June 1996)",75609945,Braveheart (1995),1995,Action,72000000,75609945,"2,270,680 (Argentina) (28 November 1995) | 858,430 (France) (31 October 1995) | 2,168,142 (Germany) (31 December 1996) | 249,610 (Portugal) (18 April 1996) | 2,165,455 (Spain) (10 July 2003)","This motion picture copyright © 1995 B.H. Finance C.V.; screenplay copyright © 1994 B.H. Finance C.V.; all original music compositions copyright © 1995 Songicon Publishing, Inc. (ASCAP) (on print)",USD,,3609945,5.0138125
1787149,"GR: USD 6,500,000 (USA) (30 March 1986)",6500000,Brazil (1985),1985,Drama,15000000,6500000,"263,331 (Spain) (10 August 2002)",© 1985 Embassy International Pictures,USD,,-8500000,-56.66666667
1787511,"GR: USD 8,000,000 (USA) (January 2004)",8000000,Breakfast at Tiffany's (1961),1961,Comedy,2500000,8000000,,Copyright © 1961 by Paramount Pictures Corporation and Jurow-Shepherd Productions (on print); Jurow-Shepherd Productions; 5 October 1961; LP20389 (in copyright registry),USD,,5500000,220
1787525,"GR: USD 175,370 (USA) (19 December 1999)",175370,Breakfast of Champions (1999),1999,Comedy,12000000,175370,,,USD,,-11824630,-98.53858333
1788621,"GR: USD 32,368,960 (USA) (3 January 1999)",32368960,Bride of Chucky (1998),1998,Comedy,25000000,32368960,"62,930 (Netherlands) (31 December 1999)",,USD,,7368960,29.47584
1789015,"GR: USD 10,977,499 (USA) (25 January 1987)",10977499,Brighton Beach Memoirs (1986),1986,Comedy,18000000,10977499,,,USD,,-7022501,-39.01389444
1789145,"GR: USD 68,379,000 (USA) (4 January 2001)",68379000,Bring It On (2000),2000,Comedy,10000000,68379000,"79 (Netherlands) (31 December 2001) | 256,320 (Spain) (31 August 2002)",,USD,,58379000,583.79
1789259,"GR: USD 16,640,210 (USA) (9 January 2000)",16640210,Bringing Out the Dead (1999),1999,Drama,32000000,16640210,"81,749 (Germany) | 15,115 (Netherlands) (31 December 2001) | 15,015 (Netherlands) (31 December 2000)","Paramount Pictures Corporation and Touchstone Pictures, 1999 (on print)",USD,,-15359790,-47.99934375
1789692,"GR: USD 51,249,404 (USA)",51249404,Broadcast News (1987),1987,Comedy,20000000,51249404,"49,268 (Sweden)",,USD,,31249404,156.24702
1789910,"GR: USD 10,114,315 (USA) (24 October 1999)",10114315,Brokedown Palace (1999),1999,Drama,25000000,10114315,,,USD,,-14885685,-59.54274
1790007,"GR: USD 70,450,000 (USA)",70450000,Broken Arrow (1996),1996,Action,50000000,70450000,"410,541 (France) (26 March 1996) | 122,982 (Netherlands) (1 January 1997) | 63,485 (Portugal) (23 May 1996)",Copyright © 1996 by Twentieth Century Fox Film Corporation all rights reserved (on print),USD,,20450000,40.9
1790311,"GR: USD 13,493 (USA) (15 August 1999)",13493,Broken Vessels (1998),1998,Drama,600000,13493,,,USD,,-586507,-97.75116667
1792625,"GR: USD 2,365,931 (USA) (25 October 1998)",2365931,Buffalo '66 (1998),1998,Comedy,1500000,2365931,"507,463 (USA) (31 December 1998) | 76,176 (UK) (31 December 1998) | 175,974 (France) (31 December 2001) | 55,584 (Germany) (31 December 1999) | 27,945 (Spain) (31 December 2001)","Cinepix Film Properties, 1997 (on print)",USD,,865931,57.72873333
1793433,"GR: USD 21,162,420 (USA) (27 October 1996)",21162420,Bulletproof (1996),1996,Action,25000000,21162420,,,USD,,-3837580,-15.35032
1793604,"GR: USD 26,525,834 (USA) (6 December 1998)",26525834,Bulworth (1998),1998,Comedy,30000000,26525834,"3,323 (Netherlands) (31 December 1999)",,USD,,-3474166,-11.58055333
1795631,"GR: USD 2,199,853 (USA) (17 September 2000)",2199853,But I'm a Cheerleader (1999),1999,Comedy,1200000,2199853,,Cheerleader LLC,USD,,999853,83.32108333
1798275,"GR: USD 42,765,000 (USA)",42765000,Cabaret (1972),1972,Drama,6000000,42765000,"143,152 (Hungary) (1980) | 632,000 (Sweden)",Copyright © MCMLXXII by ABC Pictures Corp. and Allied Artists Pictures Corporation. All Rights Reserved. (on print),USD,,36765000,612.75
1798632,"GR: USD 3,142,689 (USA) (27 July 1980)",3142689,Caddyshack (1980),1980,Comedy,6000000,3142689,,Orion Pictures Company,USD,,-2857311,-47.62185
1799339,"GR: USD 2,501,113 (USA) (19 September 1993)",2501113,Calendar Girl (1993),1993,Comedy,13000000,2501113,,,USD,,-10498887,-80.76066923
1801311,"GR: USD 25,339,117 (USA) (30 August 1998)",25339117,Can't Hardly Wait (1998),1998,Comedy,10000000,25339117,,© 1998 Global Entertainment Productions GmbH & Co. Film KG,USD,,15339117,153.39117
1802677,"GR: USD 79,100,000 (USA)",79100000,Cape Fear (1991),1991,Thriller,35000000,79100000,"1,182,562 (Germany)","Copyright © 1991 Universal City Studios, Inc. and Amblin Entertainment, Inc.",USD,,44100000,126
1804232,"GR: USD 36,948,322 (USA)",36948322,Carlito's Way (1993),1993,Crime,30000000,36948322,"169,279 (Germany) | 65,856 (Sweden)",,USD,,6948322,23.16107333
1804923,"GR: USD 1,152,375 (USA) (24 October 1993)",1152375,Carnosaur (1993),1993,Horror,1000000,1152375,,,USD,,152375,15.2375
1805163,"GR: USD 3,308,758 (USA) (8 September 1996)",3308758,Carpool (1996),1996,Comedy,17000000,3308758,45 (Netherlands) (31 December 1998),"Copyright ©1996 Monarchy Enterprises B.V. and Regency Entertainment (USA), Inc. All Rights Reserved. (on print)",USD,,-13691242,-80.53671765
1805225,"GR: USD 33,800,000 (USA)",33800000,Carrie (1976),1976,Horror,1800000,33800000,"1,540,760 (Argentina) | 1,460,913 (Spain)",COPYRIGHT ©MCMLXXVI UNITED ARTISTS CORPORATION ALL RIGHTS RESERVED,USD,,32000000,1777.777778
1805799,"GR: USD 1,661,267 (USA) (12 July 1992)",1661267,Casablanca (1942),1942,Drama,950000,1661267,"1,240,658 (Argentina) | 1,023,029 (Spain)",Turner Entertainment Co.(renewal),USD,,711267,74.87021053
1806151,"GR: USD 42,438,300 (USA)",42438300,Casino (1995),1995,Biography,52000000,42438300,"1,364,638 (France) (16 April 1996) | 530,204 (Germany) (20 January 1997) | 528,921 (Germany) (31 December 1996) | 126,540 (Netherlands) (31 December 1997) | 126,427 (Netherlands) (1 January 1997) | 181,323 (Portugal) (18 April 1996)","© 1995 Universal City Studios, Inc. and Syalis Droits Audiovisuels",USD,,-9561700,-18.38788462
1806217,"GR: USD 100,328,194 (USA)",100328194,Casper (1995),1995,Comedy,50000000,100328194,"450,000 (Austria) | 86,067 (Belgium) | 1,777,946 (France) (28 November 1995) | 193,000 (Israel)","Copyright © 1995 Universal City Studios, Inc. and Amblin Entertainment, Inc. All rights reserved. [on Screen]",USD,,50328194,100.656388
1806845,"GR: USD 5,694,940 (USA) (18 April 1982)",5694940,Cat People (1982),1982,Drama,18000000,5694940,"241,620 (Sweden)",RKO Pictures & Universal Pictures,USD,,-12305060,-68.36144444
1807444,"GR: USD 3,562,749 (USA) (26 May 1997)",3562749,Cats Don't Dance (1997),1997,Animation,32000000,3562749,,Turner Pictures Worldwide,USD,,-28437251,-88.86640938
1806914,"GR: USD 13,086,000 (USA)",13086000,Cat's Eye (1985),1985,Comedy,7000000,13086000,"45,536 (Germany)",Famous Films Productions N.V.,USD,,6086000,86.94285714
1808298,"GR: USD 1,276,984 (USA) (22 October 2000)",1276984,Cecil B. DeMented (2000),2000,Comedy,10000000,1276984,"49,828 (France) (15 August 2000) | 35,390 (France) (8 August 2000) | 45,576 (Spain) (10 August 2002) | 44,397 (Spain) (25 June 2001)",© 2000 Arctic Productions LLC,USD,,-8723016,-87.23016
1808524,"GR: USD 5,032,496 (USA) (3 January 1999)",5032496,Celebrity (1998),1998,Comedy,12000000,5032496,"135,255 (Germany) (18 April 1999) | 67,049 (Germany) (11 April 1999) | 13,078 (Netherlands) (31 December 2000) | 9,232 (Netherlands) (31 December 1999) | 661,749 (Spain) (15 April 2003)","1998 Magnolia Productions, Inc. and Sweetland Films B.V. (on print)",USD,,-6967504,-58.06253333
1809047,"GR: USD 17,174,870 (USA) (10 September 2000)",17174870,Center Stage (2000),2000,Drama,18000000,17174870,"23,597 (Spain) (10 August 2002) | 23,231 (Spain) (25 June 2001)",,USD,,-825130,-4.584055556
1809149,"GR: USD 5,595,428 (USA) (11 July 1999)",5595428,Central do Brasil (1998),1998,Drama,2900000,5595428,"1,119,681 (Brazil) (23 July 1998) | 1,109,976 (Brazil) (16 July 1998) | 1,100,805 (Brazil) (9 July 1998) | 573,452 (France) (1999) | 55,419 (Netherlands) (31 December 2000) | 53,419 (Netherlands) (31 December 1999)",,USD,,2695428,92.9457931
1797365,"GR: USD 5,321,508 (USA) (22 June 1984)",5321508,C'era una volta il West (1968),1968,Adventure,5000000,5321508,"14,911,000 (France)",Copyright 1968 by Paramount Pictures Corporation (on print); Rafran Cinematografica; 20 December 1968; LF34 (in copyright registry),USD,,321508,6.43016
1809864,"GR: USD 1,652,472 (USA) (14 September 1997)",1652472,Chacun cherche son chat (1996),1996,Comedy,300000,1652472,"435,196 (France) (28 May 1996) | 39,605 (Netherlands) (31 December 1997) | 30,077 (Netherlands) (1 January 1997)",© vertigo productions - france 2 cinéma - 1996,USD,,1352472,450.824
1809984,"GR: USD 20,550,712 (USA) (29 September 1996)",20550712,Chain Reaction (1996),1996,Action,50000000,20550712,"402,918 (France) (31 December 1996) | 278,243 (Germany) (1 December 1996) | 69,876 (Netherlands) (31 December 1997) | 68,481 (Netherlands) (1 January 1997) | 56,791 (Portugal) (19 December 1996) | 48,715 (Portugal) (12 December 1996) | 30,467 (Portugal) (5 December 1996) | 540,725 (Spain)",,USD,,-29449288,-58.898576
1810092,"GR: USD 306,715 (USA) (22 March 1998)",306715,Chairman of the Board (1998),1998,Comedy,10000000,306715,,,USD,,-9693285,-96.93285
1811722,"GR: USD 55,593,332 (USA) (18 July 1982)",55593332,Chariots of Fire (1981),1981,Drama,5500000,55593332,,"Enigma Productions, Limited",USD,,50093332,910.7878545
1812490,"GR: USD 12,006,514 (USA) (28 September 1997)",12006514,Chasing Amy (1997),1997,Comedy,250000,12006514,"2,564,423 (USA) | 151,185 (UK) | 64,063 (Germany) | 6,822 (Netherlands) (31 December 1999) | 6,689 (Netherlands) (31 December 1998) | 234,642 (Spain) (31 August 2002) | 234,484 (Spain)","© 1996 Too Askew Productions, Inc. and Miramax, Inc.",USD,,11756514,4702.6056
1815267,"GR: USD 106,793,915 (USA) (29 October 2000)",106793915,Chicken Run (2000),2000,Animation,42000000,106793915,"1,977,920 (Germany) (31 December 2000) | 158,163 (Netherlands) (31 December 2001) | 153,153 (Netherlands) (31 December 2000) | 1,375,872 (Spain) (10 August 2002) | 1,347,113 (Spain) (25 June 2001)","©2000 DreamWorks LLC, Aardman Chicken Run Limited and Pathé Image",USD,,64793915,154.2712262
1816171,"GR: USD 14,568,989 (USA) (28 May 1984)",14568989,Children of the Corn (1984),1984,Horror,800000,14568989,,,USD,,13768989,1721.123625
1816175,"GR: USD 4,983,565 (USA) (7 February 1993)",4983565,Children of the Corn II: The Final Sacrifice (1992),1992,Horror,900000,4983565,,,USD,,4083565,453.7294444
1815901,"GR: USD 32,842,703 (USA) (5 March 1989)",32842703,Child's Play (1988),1988,Horror,9000000,32842703,,"United Artists Pictures, Inc. (1988)",USD,,23842703,264.9189222
1815914,"GR: USD 28,501,605 (USA)",28501605,Child's Play 2 (1990),1990,Horror,13000000,28501605,,Universal City Studios,USD,,15501605,119.2431154
1815915,"GR: USD 9,673,095 (USA) (1991)",9673095,Child's Play 3 (1991),1991,Horror,13000000,9673095,,,USD,,-3326905,-25.59157692
1816379,"GR: USD 11,227,940 (USA) (24 October 1999)",11227940,Chill Factor (1999),1999,Action,70000000,11227940,"4,867 (Netherlands) (31 December 2001)","© 1999 Morgan Creek Productions, Inc. (on print)",USD,,-58772060,-83.96008571
1818342,"GR: USD 21,200,000 (USA)",21200000,Christine (1983),1983,Drama,9700000,21200000,,Copyright c 1983 Columbia Pictures Industries Inc.,USD,,11500000,118.556701
1818562,"GR: USD 71,320,000 (USA)",71320000,Christmas Vacation (1989),1989,Comedy,27000000,71320000,"76,988 (Sweden)",This Motion Picture © 1989 Warner Bros. Inc.,USD,,44320000,164.1481481
1819155,"GR: USD 1,050,600 (USA) (1 October 2000)",1050600,Chuck & Buck (2000),2000,Comedy,250000,1050600,,"Miguel Arteta/Matthew Greenfield & Blow Up Pictures, LLC., 2000 (on print)",USD,,800600,320.24
1820400,"GR: USD 34,101,149 (USA) (1987)",34101149,Cinderella (1950),1950,Animation,2900000,34101149,,Walt Disney Productions; 4 November 1949; LP2819 (in copyright registry),USD,,31201149,1075.90169
1821599,"GR: USD 1,140,769 (USA) (23 June 1991) (re-release)",1140769,Citizen Kane (1941),1941,Drama,686033,1140769,"634,665 (Spain)","© RKO Radio Pictures, Inc.; 1 May 1941; LP10457 (in copyright registry)",USD,,454736,66.28485802
1821619,"GR: USD 153,155 (USA) (12 January 1997)",153155,Citizen Ruth (1996),1996,Comedy,3000000,153155,,,USD,,-2846845,-94.89483333
1821739,"GR: USD 20,200,000 (USA)",20200000,City Hall (1996),1996,Drama,40000000,20200000,"22,658 (Netherlands) (31 December 1997) | 22,642 (Netherlands) (1 January 1997)",,USD,,-19800000,-49.5
1821852,"GR: USD 78,745,923 (USA) (30 August 1998)",78745923,City of Angels (1998),1998,Drama,55000000,78745923,"690,573 (Brazil) (9 July 1998) | 2,235,774 (Germany) (13 September 1998) | 2,099,263 (Germany) (6 September 1998) | 1,689,070 (Germany) (23 August 1998) | 1,406,060 (Germany) (16 August 1998) | 1,165,857 (Germany) (9 August 1998) | 356,218 (Germany) (26 July 1998) | 217,071 (Netherlands) (31 December 1999) | 216,837 (Netherlands) (31 December 1998) | 290,000 (Portugal)",,USD,,23745923,43.17440545
1821917,"GR: USD 1,495,332 (USA) (30 March 1997)",1495332,City of Industry (1997),1997,Crime,8000000,1495332,"11,053 (Germany) (1 June 1998) (opening week) | 3,019 (Netherlands) (1 January 1998)","Largo Entertainment, Inc.",USD,,-6504668,-81.30835
1823008,"GR: USD 1,789,892 (USA) (15 November 1998)",1789892,Clay Pigeons (1998),1998,Comedy,8000000,1789892,,,USD,,-6210108,-77.62635
1823223,"GR: USD 122,012,710 (USA)",122012710,Clear and Present Danger (1994),1994,Action,45000000,122012710,"934,080 (France) (29 November 1994) | 245,538 (Sweden)",Paramount Pictures Corporation,USD,,77012710,171.1393556
1823361,"GR: USD 3,151,130 (USA)",3151130,Clerks. (1994),1994,Comedy,230000,3151130,"214,319 (Spain)","© 1994 View Askew Productions, Inc. (on print)",USD,,2921130,1270.056522
1823486,"GR: USD 84,049,211 (USA)",84049211,Cliffhanger (1993),1993,Action,65000000,84049211,"392,670 (Sweden)",Cliffhanger B.V.,USD,,19049211,29.30647846
1823740,"GR: USD 13,040,603 (USA)",13040603,Clockers (1995),1995,Crime,25000000,13040603,"23,832 (Netherlands) (31 December 1997) | 23,776 (Netherlands) (1 January 1997)","© 1995, Universal City Studios, Inc.",USD,,-11959397,-47.837588
1823865,"GR: USD 15,693,175 (USA) (1980)",15693175,Close Encounters of the Third Kind (1977),1977,Adventure,19400870,15693175,"3,094,000 (France) | 448,118 (Sweden)","Copyright ©1977. 1980 Columbia Pictures Industries, Inc. All Rights Reserved",USD,,-3707695,-19.11097286
1824623,"GR: USD 49,403,013 (USA) (20 August 1995)",49403013,Clueless (1995),1995,Comedy,12000000,49403013,"85,953 (Netherlands) (1 January 1997) | 86,080 (Netherlands) | 29,135 (Portugal) (4 April 1996) | 76,605 (Spain)",,USD,,37403013,311.691775
1827008,"GR: USD 19,726,050 (USA) (1 January 1995)",19726050,Color of Night (1994),1994,Drama,40000000,19726050,"64,505 (Sweden)",,USD,,-20273950,-50.684875
1828716,"GR: USD 488,419 (USA) (11 May 1997)",488419,Commandments (1997),1997,Comedy,5000000,488419,,"Universal City Studios, Inc., 1996",USD,,-4511581,-90.23162
1829882,"GR: USD 101,087,161 (USA) (5 October 1997)",101087161,Con Air (1997),1997,Action,75000000,101087161,"994,244 (France) (30 September 1997) | 705,405 (France) (2 September 1997) | 445,465 (France) (opening week) | 2,524,901 (Germany) (11 August 1997) | 2,490,445 (Germany) (4 August 1997) | 2,421,262 (Germany) (28 July 1997) | 2,323,311 (Germany) (21 July 1997) | 2,159,780 (Germany) (14 July 1997) | 1,990,862 (Germany) (7 July 1997) | 1,692,859 (Germany) (30 June 1997) | 1,195,430 (Germany) (23 June 1997) | 563,562 (Germany) (opening week) | 397,700 (Netherlands) (1 January 1998) | 181,404 (Portugal) (21 August 1997) | 175,997 (Portugal) (14 August 1997) | 170,590 (Portugal) (7 August 1997) | 158,833 (Portugal) (31 July 1997) | 148,415 (Portugal) (24 July 1997) | 131,442 (Portugal) (17 July 1997) | 106,862 (Portugal) (10 July 1997) | 68,394 (Portugal) (3 July 1997) (opening week)","Touchstone Pictures and Jerry Bruckheimer, Inc.",USD,,26087161,34.78288133
1830096,"GR: USD 38,511,612 (USA) (5 July 1982)",38511612,Conan the Barbarian (1982),1982,Action,20000000,38511612,"1,778,722 (France) | 1,460,563 (Spain) | 133,177 (Sweden) | 2,496,673 (West Germany)",© 1981 Dino De Laurentiis Corporation,USD,,18511612,92.55806
1831084,"GR: USD 75,791,168 (USA) (16 July 1995)",75791168,Congo (1995),1995,Action,50000000,75791168,"518,564 (France) (5 September 1995)",,USD,,25791168,51.582336
1831593,"GR: USD 76,081,498 (USA) (23 November 1997)",76081498,Conspiracy Theory (1997),1997,Action,75000000,76081498,"1,143,805 (France) (30 September 1997) | 732,249 (France) (2 September 1997) | 98,252 (France) (26 August 1997) (opening week) | 17,848 (France) (20 August 1997) (opening day) | 456,461 (France) (opening week) | 261,540 (France) | 1,198,841 (France) | 593,567 (Germany) (15 December 1997) | 574,779 (Germany) (1 December 1997) | 527,139 (Germany) (24 November 1997) | 417,393 (Germany) (17 November 1997) | 222,725 (Germany) (10 November 1997) (opening week) | 190,650 (Netherlands) (1 January 1998) | 223,854 (Portugal) (30 October 1997) | 218,161 (Portugal) (23 October 1997) | 213,361 (Portugal) (16 October 1997) | 199,579 (Portugal) (9 October 1997) | 175,377 (Portugal) (2 October 1997) | 150,620 (Portugal) (25 September 1997) | 112,563 (Portugal) (18 September 1997) | 63,270 (Portugal) (11 September 1997) (opening week)",,USD,,1081498,1.441997333
1831790,"GR: USD 100,853,835 (USA) (2 November 1997)",100853835,Contact (1997),1997,Drama,90000000,100853835,"910,337 (France) (28 October 1997) | 611,739 (France) (30 September 1997) | 99,938 (France) (23 September 1997) (opening week) | 16,053 (France) (17 September 1997) (opening day) | 944,970 (France) | 369,566 (France) (opening week) | 219,760 (France) | 1,206,108 (Germany) (10 November 1997) | 1,109,147 (Germany) (3 November 1997) | 940,653 (Germany) (27 October 1997) | 706,421 (Germany) (20 October 1997) | 334,978 (Germany) (13 October 1997) (opening week) | 162,303 (Netherlands) (31 December 1998) | 159,156 (Netherlands) (1 January 1998) | 145,226 (Portugal) (30 October 1997) | 78,976 (Portugal) (23 October 1997) (opening week) | 1,110,352 (Spain) (30 November 2003)",Warner Bros.,USD,,10853835,12.05981667
1832720,"GR: USD 10,919,177 (USA) (26 September 1999)",10919177,Cookie's Fortune (1999),1999,Comedy,8500000,10919177,"27,968 (Netherlands) (31 December 2000) | 26,148 (Netherlands) (31 December 1999)","Kudzu Productions, 1998 (on print)",USD,,2419177,28.46090588
1832852,"GR: USD 68,856,263 (USA)",68856263,Cool Runnings (1993),1993,Adventure,15000000,68856263,"61,907 (Sweden)",©MCMXCIII The Walt Disney Company All Rights Reserved (on print),USD,,53856263,359.0417533
1832956,"GR: USD 44,886,089 (USA) (16 November 1997)",44886089,Cop Land (1997),1997,Crime,10000000,44886089,"443,420 (Germany) (23 February 1998) | 388,788 (Germany) (16 February 1998) | 302,011 (Germany) (9 February 1998) | 153,389 (Germany) (2 February 1998) (opening week) | 81,187 (Netherlands) (31 December 1998) | 79,010 (Netherlands) (1 January 1998)",Miramax Film Corp.,USD,,34886089,348.86089
1833175,"GR: USD 32,051,917 (USA)",32051917,Copycat (1995),1995,Crime,20000000,32051917,"660,700 (France) (28 May 1996) | 104,874 (Netherlands) (1 January 1997) | 41,463 (Portugal) (16 May 1996)",,USD,,12051917,60.259585
1834632,"GR: USD 299,351 (USA) (22 October 2000)",299351,Cotton Mary (1999),1999,Drama,3500000,299351,"4,709 (Spain) (10 August 2002) | 4,282 (Spain) (25 June 2001)",© 1999 COTTON PRODUCTIONS LIMITED,USD,,-3200649,-91.44711429
1835442,"GR: USD 58,918,501 (USA) (27 October 1996)",58918501,Courage Under Fire (1996),1996,Drama,46000000,58918501,"29,065 (Netherlands) (1 January 1998) | 71,943 (Portugal) (6 February 1997) | 65,845 (Portugal) (30 January 1997) | 48,642 (Portugal) (23 January 1997) | 27,849 (Portugal) (16 January 1997) | 724,164 (Spain)",,USD,,12918501,28.08369783
1836147,"GR: USD 60,786,269 (USA) (1 January 2001)",60786269,Coyote Ugly (2000),2000,Comedy,45000000,60786269,"329,683 (Netherlands) (31 December 2001) | 310,605 (Netherlands) (31 December 2000) | 1,322,130 (Spain) (10 August 2002) | 1,300,823 (Spain) (25 June 2001)","2000 Touchstone Pictures and Jerry Bruckheimer, Inc.",USD,,15786269,35.08059778
1836375,"GR: USD 2,899,970 (USA) (23 April 2000)",2899970,Cradle Will Rock (1999),1999,Drama,32000000,2899970,"8,976 (Argentina) (4 February 2003) | 97,876 (Spain)",,USD,,-29100030,-90.93759375
1836516,"GR: USD 3,168,660 (USA) (20 April 1997)",3168660,Crash (1996),1996,Drama,9000000,3168660,"541,663 (France) (3 September 1996) | 402,103 (France) (6 August 1996) | 16,548 (Netherlands) (31 December 1998) | 16,537 (Netherlands) (1 January 1998) | 78,535 (Portugal) (19 December 1996) | 75,794 (Portugal) (12 December 1996) | 72,621 (Portugal) (5 December 1996) | 67,629 (Portugal) (28 November 1996) | 61,232 (Portugal) (21 November 1996) | 53,333 (Portugal) (14 November 1996) | 44,531 (Portugal) (7 November 1996) | 32,353 (Portugal) (31 October 1996) | 19,569 (Portugal) (24 October 1996) | 10,359 (Portugal) (10 October 1996) | 204,526 (Spain)","Alliance Communications Corporation, In Trust",USD,,-5831340,-64.79266667
1836984,"GR: USD 1,954,202 (USA) (7 November 1999)",1954202,Crazy in Alabama (1999),1999,Comedy,15000000,1954202,,copyright 1999 Global Entertainment Productions GmbH & Co. Medien KG,USD,,-13045798,-86.97198667
1837962,"GR: USD 18,254,702 (USA)",18254702,Crimes and Misdemeanors (1989),1989,Comedy,19000000,18254702,"36,045 (Sweden)",© 1989 Orion Pictures Corporation (on print); Orion Pictures Corporation; 2 January 1990; PA447419 (in copyright registry),USD,,-745298,-3.922621053
1838160,"GR: USD 91,400,000 (USA)",91400000,Crimson Tide (1995),1995,Action,53000000,91400000,"583,144 (France) (3 October 1995)","Don Simpson Productions, Inc.",USD,,38400000,72.45283019
1838360,"GR: USD 141,853 (USA) (16 November 1997)",141853,Critical Care (1997),1997,Comedy,12000000,141853,,"LIVE Film and Mediaworks, Inc., 1997",USD,,-11858147,-98.81789167
1838619,"GR: USD 13,640,000 (USA)",13640000,Crooklyn (1994),1994,Comedy,14000000,13640000,,,USD,,-360000,-2.571428571
1838850,"GR: USD 1,300,000 (USA)",1300000,Crossfire (1947),1947,Crime,250000,1300000,,"RKO Radio Pictures, Inc. (original), U.S. Copyright LP1194, 22 July 1947",USD,,1050000,420
1839311,"GR: USD 38,201,895 (USA) (1 August 1999)",38201895,Cruel Intentions (1999),1999,Drama,11000000,38201895,"112,901 (Netherlands) (31 December 1999) | 567,435 (Spain)",Original Films,USD,,27201895,247.2899545
1847048,"GR: USD 4,184,036 (USA) (22 December 2000)",4184036,Dancer in the Dark (2000),2000,Crime,12800000,4184036,"185,539 (Denmark) (23 November 2000) | 176,752 (Denmark) (16 November 2000) | 172,242 (Denmark) (9 November 2000) | 165,539 (Denmark) (2 November 2000) | 159,083 (Denmark) (26 October 2000) | 151,904 (Denmark) (19 October 2000) | 137,640 (Denmark) (12 October 2000) | 119,462 (Denmark) (5 October 2000) | 100,288 (Denmark) (28 September 2000) | 78,630 (Denmark) (21 September 2000) | 50,423 (Denmark) (14 September 2000) | 18,821 (Denmark) (7 September 2000) | 31,370 (Finland) (16 November 2000) | 29,448 (Finland) (9 November 2000) | 27,464 (Finland) (2 November 2000) | 25,235 (Finland) (26 October 2000) | 22,815 (Finland) (19 October 2000) | 19,706 (Finland) (12 October 2000) | 16,921 (Finland) (5 October 2000) | 13,811 (Finland) (28 September 2000) | 10,146 (Finland) (21 September 2000) | 5,364 (Finland) (14 September 2000) | 1,103,282 (France) (19 December 2000) | 1,095,023 (France) (12 December 2000) | 1,079,124 (France) (5 December 2000) | 1,050,814 (France) (28 November 2000) | 1,007,540 (France) (21 November 2000) | 941,486 (France) (14 November 2000) | 828,790 (France) (7 November 2000) | 626,731 (France) (31 October 2000) | 351,171 (France) (24 October 2000) | 9,006 (Iceland) (19 November 2000) | 8,744 (Iceland) (12 November 2000) | 8,189 (Iceland) (29 October 2000) | 7,577 (Iceland) (22 October 2000) | 7,095 (Iceland) (15 October 2000) | 6,076 (Iceland) (8 October 2000) | 4,638 (Iceland) (1 October 2000) | 3,103 (Iceland) (24 September 2000) | 117,491 (Netherlands) (31 December 2001) | 78,544 (Netherlands) (31 December 2000) | 56,729 (Norway) (26 October 2000) | 53,407 (Norway) (19 October 2000) | 49,037 (Norway) (12 October 2000) | 43,727 (Norway) (5 October 2000) | 36,802 (Norway) (28 September 2000) | 28,204 (Norway) (21 September 2000) | 16,150 (Norway) (14 September 2000) | 427,065 (Spain) (10 August 2002) | 411,027 (Spain) (25 June 2001) | 81,128 (Turkey)","© 2000 Zentropa Entertainments4 Aps, France 3 Cinéma, Arte France Cinéma, Trust Film Svenska, Liberator Productions & Pain Unlimited",USD,,-8615964,-67.31221875
